id,essential_workplaces_id,ont_category,ont_description,ont_item,naics_code,naics_title,entirely_essential,notes
1,1,Supply Chains,"1. Businesses that supply other essential businesses or essential services with the support, supplies, systems or services, including processing, packaging, distribution, delivery and maintenance necessary to operate;",,,,,
2,2,Food,"2. Businesses that primarily sell food, beverages and consumer products necessary to maintain households and businesses including:",Supermarkets and grocery stores.,4451,Grocery stores,1,
3,2,Food,"2. Businesses that primarily sell food, beverages and consumer products necessary to maintain households and businesses including:",Supermarkets and grocery stores.,4452,Specialty food stores,1,"meat markets, fish markets, fruit markets, other"
4,3,Food,"2. Businesses that primarily sell food, beverages and consumer products necessary to maintain households and businesses including:",Convenience stores.,4451,Grocery stores,1,
5,4,Food,"2. Businesses that primarily sell food, beverages and consumer products necessary to maintain households and businesses including:",Discount and big box retailers selling groceries.,4529,Other general merchandise stores,0,includes warehouse clubs
6,5,Food,"2. Businesses that primarily sell food, beverages and consumer products necessary to maintain households and businesses including:","Restaurants (take-out, drive-through and delivery service only).",7223,Special food services,1,"this industry group comprises establishments primarily engaged in providing food services at the customer's location, at a location designated by the customer, or from a motorized vehicle or non-motorized cart."
7,5,Food,"2. Businesses that primarily sell food, beverages and consumer products necessary to maintain households and businesses including:","Restaurants (take-out, drive-through and delivery service only).",7225,Full-service restaurants and limited-service eating places,0,includes both takeout and restaurants
8,6,Food,"2. Businesses that primarily sell food, beverages and consumer products necessary to maintain households and businesses including:",Beer and wine and liquor stores.,4453,"Beer, wine and liquor stores",1,
9,7,Services,3. Pharmacies.,,4461,Health and personal care stores,0,includes pharmacies but also some non-essential businesses
10,8,Services,4. Gas stations and other fuel suppliers.,,4471,Gasoline stations,1,
11,9,Services,5. Laundromats and drycleaners.,,8123,Drycleaning and laundry services,1,
12,10,Services,"6. Security services for residences, businesses and other properties.",,5616,Investigation and security services,1,
13,11,Services,7. Vehicle and equipment repair and essential maintenance and vehicle and equipment rental services.,,5321,Automotive equipment rental and leasing,1,
14,11,Services,7. Vehicle and equipment repair and essential maintenance and vehicle and equipment rental services.,,8111,Automotive repair and maintenance,1,
15,12,Services,"8. Courier, postal, shipping, moving and delivery services.",,4911,Postal service,1,
16,12,Services,"8. Courier, postal, shipping, moving and delivery services.",,4921,Couriers and Express Delivery Services,1,
17,12,Services,"8. Courier, postal, shipping, moving and delivery services.",,4922,Local messengers and local delivery,1,
18,13,Services,9. Funeral and related services.,,8122,Funeral services,1,
19,14,Services,10. Staffing services including providing temporary help.,,5613,Employment services,1,
20,15,Services,"11. Veterinary services (urgent care only) and other businesses that provide for the health and welfare of animals, including farms, boarding kennels, stables, animal shelters, zoos, aquariums and research facilities.",,4519,"Other professional, scientific and technical services",0,includes veterinary services
21,16,Services,"12. Home child care services of up to six children as permitted under the Child Care and Early Years Act, 2014, and child care centres for essential workers authorized to operate in accordance with Ontario Regulation 51/20 (Order Under Subsection 7.0.2 (4) of the Act - Closure of Establishments) made under the Act.",,6244,Child day-care services,0,includes home child care
22,17,Services,"13. Hotels, motels, other shared rental accommodation including student residences, except for seasonal campgrounds and any pools, fitness centres, meeting rooms and other recreational facilities that may be part of the operations of these businesses.",,7211,Traveller accommodation,1,
